id,name,code,account_type,reconcile,tag_ids
l10n_py_coa.account_5360138,Servicio de Delivery,5360138,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360140,Perdida en vta de activo fijo,5360140,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360141,Comision Sev. Publico,5360141,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5360142,Gastos varios de Administracio,5360142,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5370102,Impuesto a los actos y docum.,5370102,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380102,Gastos de movilidad GND,5380102,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380103,Gastos varios de venta GND,5380103,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380104,Serv.mant.de edif e inst. GND,5380104,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380105,Gastos de eventos GND,5380105,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380106,Aguinaldos GND,5380106,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380107,Sueldos y jornales GND,5380107,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380109,Gastos generales GND,5380109,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380110,Gastos bancarios GND,5380110,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380111,Combustibles GND,5380111,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380112,GND - Diciembre,5380112,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380114,Seguro de caja GND,5380114,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380115,Comisión vta. de tarjeta GND,5380115,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380117,Mater. mant. del local GND,5380117,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380119,Mater. mant. de rodados GND,5380119,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380120,Lubricantes GND,5380120,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380121,Capacitación GND,5380121,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380122,Honorarios profesionales GND,5380122,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380123,Seguros GND,5380123,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380124,Diferencia en cheque GND,5380124,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380125,Servicios personales GND,5380125,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380126,Fletes GND,5380126,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380127,IVA GASTO,5380127,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_5380128,Servicios digitales GND,5380128,expense,False,l10n_py_coa.account_tag_paraguay
non_current_assets,Edificios,12602,asset_fixed,False,l10n_py_coa.account_tag_paraguay
non_current_liabilities,Deprec.Acum.Inmuebles,12702,expense_depreciation,False,l10n_py_coa.account_tag_paraguay
other_income,Otros ingresos,428,income_other,False,l10n_py_coa.account_tag_paraguay
payable,Provedores Local,2116,liability_payable,True,l10n_py_coa.account_tag_paraguay
